Region,Week,Cumulative Supply,Cumulative Vaccinations,Opening Supply,Supply Increase,Weekly Supply,Weekly Vaccinations,Population
BC,2021-01-04,54625,25744,"28,881","16,575","45,456","34,158",5147712
BC,2021-01-11,71200,59902,"11,298","46,675","57,973","27,444",5147712
BC,2021-01-18,117875,87346,"30,529","26,675","57,204","32,504",5147712
BC,2021-01-25,144550,119850,"24,700",0,"24,700","19,042",5147712
BC,2021-02-01,144550,138892,"5,658","28,400","34,058","15,604",5147712
BC,2021-02-08,172950,154496,"18,454","15,550","34,004","8,486",5147712
BC,2021-02-15,188500,162982,"25,518","54,990","80,508","55,744",5147712
BC,2021-02-22,243490,218726,"24,764","80,350","105,114","56,955",5147712
BC,2021-03-01,323840,275681,"48,159","61,240","109,399","57,646",5147712
BC,2021-03-08,385080,333327,"51,753","128,840","180,593","75,776",5147712
BC,2021-03-15,513920,409103,"104,817","117,240","222,057","130,305",5147712
BC,2021-03-22,631160,539408,"91,752","195,460","287,212","159,684",5147712
BC,2021-03-29,826620,699092,"127,528","462,440","589,968","194,498",5147712
BC,2021-04-05,1289060,893590,"395,470","269,250","664,720","244,498",5147712
BC,2021-04-12,1558310,1138088,"420,222","138,060","558,282","294,498",5147712
BC,2021-04-19,1696370,1432586,"263,784","294,660","558,444","228,032",5147712
BC,2021-04-26,1991030,1660618,"330,412","138,060","468,472","203,577",5147712
BC,2021-05-03,2129090,1864195,"264,895","139,230","404,125","184,604",5147712
BC,2021-05-10,2268320,2048799,"219,521","139,230","358,751","155,422",5147712
BC,2021-05-17,2407550,2204221,"203,329","139,230","342,559","151,250",5147712
BC,2021-05-24,2546780,2355471,"191,309","139,230","330,539","146,711",5147712
BC,2021-05-31,2686010,2502182,"183,828",0,"183,828","80,799",5147712
BC,2021-06-07,2686010,2582981,"103,029",0,"103,029","45,502",5147712
BC,2021-06-14,2686010,2628483,"57,527",0,"57,527","25,408",5147712
BC,2021-06-21,2686010,2653891,"32,119",0,"32,119","14,163",5147712
BC,2021-06-28,2686010,2668054,"17,956",0,"17,956","7,926",5147712
AB,2021-01-04,46150,22861,"23,289","13,650","36,939","23,930",4421876
AB,2021-01-11,59800,46791,"13,009","41,475","54,484","43,023",4421876
AB,2021-01-18,101275,89814,"11,461","21,450","32,911","9,639",4421876
AB,2021-01-25,122725,99453,"23,272",0,"23,272","6,894",4421876
AB,2021-02-01,122725,106347,"16,378","9,750","26,128","14,010",4421876
AB,2021-02-08,132475,120357,"12,118","26,600","38,718","26,246",4421876
AB,2021-02-15,159075,146603,"12,472","46,800","59,272","26,936",4421876
AB,2021-02-22,205875,173539,"32,336","69,090","101,426","61,969",4421876
AB,2021-03-01,274965,235508,"39,457","51,480","90,937","62,184",4421876
AB,2021-03-08,326445,297692,"28,753","109,980","138,733","70,432",4421876
AB,2021-03-15,436425,368124,"68,301","92,420","160,721","119,369",4421876
AB,2021-03-22,528845,487493,"41,352","168,570","209,922","120,809",4421876
AB,2021-03-29,697415,608302,"89,113","380,800","469,913","99,180",4421876
AB,2021-04-05,1078215,707482,"370,733","258,740","629,473","149,180",4421876
AB,2021-04-12,1336955,856662,"480,293","119,340","599,633","199,180",4421876
AB,2021-04-19,1456295,1055842,"400,453","254,140","654,593","170,243",4421876
AB,2021-04-26,1710435,1226085,"484,350","119,340","603,690","166,867",4421876
AB,2021-05-03,1829775,1392952,"436,823","119,340","556,163","161,038",4421876
AB,2021-05-10,1949115,1553990,"395,125","119,340","514,465","141,656",4421876
AB,2021-05-17,2068455,1695646,"372,809","119,340","492,149","138,017",4421876
AB,2021-05-24,2187795,1833663,"354,132","119,340","473,472","133,414",4421876
AB,2021-05-31,2307135,1967077,"340,058",0,"340,058","94,940",4421876
AB,2021-06-07,2307135,2062017,"245,118",0,"245,118","68,748",4421876
AB,2021-06-14,2307135,2130765,"176,370",0,"176,370","49,468",4421876
AB,2021-06-21,2307135,2180233,"126,902",0,"126,902","35,538",4421876
AB,2021-06-28,2307135,2215771,"91,364",0,"91,364","25,612",4421876
SK,2021-01-04,13675,4013,"9,662","3,900","13,562","4,935",1178681
SK,2021-01-11,17575,8948,"8,627","11,725","20,352","13,670",1178681
SK,2021-01-18,29300,22618,"6,682","3,425","10,107","10,735",1178681
SK,2021-01-25,32725,33353,-628,0,-628,"2,094",1178681
SK,2021-02-01,32725,35447,"-2,722","11,850","9,128","7,540",1178681
SK,2021-02-08,44575,42987,"1,588","1,950","3,538","6,822",1178681
SK,2021-02-15,46525,49809,"-3,284","12,870","9,586","11,921",1178681
SK,2021-02-22,59395,61730,"-2,335","15,210","12,875","17,559",1178681
SK,2021-03-01,74605,79289,"-4,684","18,540","13,856","13,487",1178681
SK,2021-03-08,93145,92776,369,"29,540","29,909","11,648",1178681
SK,2021-03-15,122685,104424,"18,261","28,070","46,331","39,747",1178681
SK,2021-03-22,150755,144171,"6,584","37,270","43,854","35,629",1178681
SK,2021-03-29,188025,179800,"8,225","96,970","105,195","41,733",1178681
SK,2021-04-05,284995,221533,"63,462","80,990","144,452","46,733",1178681
SK,2021-04-12,365985,268266,"97,719","31,590","129,309","51,733",1178681
SK,2021-04-19,397575,319999,"77,576","67,390","144,966","54,136",1178681
SK,2021-04-26,464965,374135,"90,830","31,590","122,420","44,766",1178681
SK,2021-05-03,496555,418901,"77,654","31,590","109,244","41,483",1178681
SK,2021-05-10,528145,460384,"67,761","31,590","99,351","37,053",1178681
SK,2021-05-17,559735,497437,"62,298","31,590","93,888","35,000",1178681
SK,2021-05-24,591325,532437,"58,888","31,590","90,478","33,943",1178681
SK,2021-05-31,622915,566380,"56,535",0,"56,535","21,123",1178681
SK,2021-06-07,622915,587503,"35,412",0,"35,412","13,239",1178681
SK,2021-06-14,622915,600742,"22,173",0,"22,173","8,297",1178681
SK,2021-06-21,622915,609039,"13,876",0,"13,876","5,188",1178681
SK,2021-06-28,622915,614227,"8,688",0,"8,688","3,249",1178681
MB,2021-01-04,19975,3432,"16,543","9,555","26,098","6,921",1379263
MB,2021-01-11,29530,10353,"19,177","16,760","35,937","7,398",1379263
MB,2021-01-18,46290,17751,"28,539","9,360","37,899","12,000",1379263
MB,2021-01-25,55650,29751,"25,899",0,"25,899","12,066",1379263
MB,2021-02-01,55650,41817,"13,833","10,440","24,273","6,370",1379263
MB,2021-02-08,66090,48187,"17,903","3,510","21,413","6,878",1379263
MB,2021-02-15,69600,55065,"14,535","15,210","29,745","7,300",1379263
MB,2021-02-22,84810,62365,"22,445","23,650","46,095","14,305",1379263
MB,2021-03-01,108460,76670,"31,790","16,380","48,170","14,257",1379263
MB,2021-03-08,124840,90927,"33,913","34,380","68,293","16,004",1379263
MB,2021-03-15,159220,106931,"52,289","34,540","86,829","29,398",1379263
MB,2021-03-22,193760,136329,"57,431","54,420","111,851","37,219",1379263
MB,2021-03-29,248180,173548,"74,632","123,850","198,482","36,540",1379263
MB,2021-04-05,372030,210088,"161,942","77,340","239,282","68,229",1379263
MB,2021-04-12,449370,278317,"171,053","37,440","208,493","55,737",1379263
MB,2021-04-19,486810,334054,"152,756","79,440","232,196","57,010",1379263
MB,2021-04-26,566250,391064,"175,186","37,440","212,626","56,558",1379263
MB,2021-05-03,603690,447622,"156,068","37,440","193,508","50,238",1379263
MB,2021-05-10,641130,497860,"143,270","37,440","180,710","46,451",1379263
MB,2021-05-17,678570,544311,"134,259","36,270","170,529","44,489",1379263
MB,2021-05-24,714840,588800,"126,040","37,440","163,480","42,371",1379263
MB,2021-05-31,752280,631171,"121,109",0,"121,109","31,372",1379263
MB,2021-06-07,752280,662543,"89,737",0,"89,737","23,305",1379263
MB,2021-06-14,752280,685848,"66,432",0,"66,432","17,226",1379263
MB,2021-06-21,752280,703074,"49,206",0,"49,206","12,762",1379263
MB,2021-06-28,752280,715836,"36,444",0,"36,444","9,456",1379263
ON,2021-01-04,148350,42419,"105,931","47,775","153,706","79,686",14734014
ON,2021-01-11,196125,122105,"74,020","80,925","154,945","87,683",14734014
ON,2021-01-18,277050,209788,"67,262","134,600","201,862","76,322",14734014
ON,2021-01-25,411650,286110,"125,540",0,"125,540","55,790",14734014
ON,2021-02-01,411650,341900,"69,750","26,325","96,075","44,271",14734014
ON,2021-02-08,437975,386171,"51,804","85,700","137,504","89,153",14734014
ON,2021-02-15,523675,475324,"48,351","159,580","207,931","94,131",14734014
ON,2021-02-22,683255,569455,"113,800","220,030","333,830","135,240",14734014
ON,2021-03-01,903285,704695,"198,590","183,460","382,050","207,791",14734014
ON,2021-03-08,1086745,912486,"174,259","370,260","544,519","279,067",14734014
ON,2021-03-15,1457005,1191553,"265,452","323,130","588,582","361,487",14734014
ON,2021-03-22,1780135,1553040,"227,095","573,530","800,625","478,695",14734014
ON,2021-03-29,2353665,2031735,"321,930","1,669,210","1,991,140","513,905",14734014
ON,2021-04-05,4022875,2545640,"1,477,235","429,250","1,906,485","613,905",14734014
ON,2021-04-12,4452125,3159545,"1,292,580","395,460","1,688,040","713,905",14734014
ON,2021-04-19,4847585,3873450,"974,135","843,860","1,817,995","607,831",14734014
ON,2021-04-26,5691445,4481281,"1,210,164","396,630","1,606,794","578,055",14734014
ON,2021-05-03,6088075,5059336,"1,028,739","398,970","1,427,709","531,592",14734014
ON,2021-05-10,6487045,5590928,"896,117","398,970","1,295,087","460,376",14734014
ON,2021-05-17,6886015,6051304,"834,711","400,140","1,234,851","447,664",14734014
ON,2021-05-24,7286155,6498968,"787,187","398,970","1,186,157","431,106",14734014
ON,2021-05-31,7685125,6930074,"755,051",0,"755,051","272,184",14734014
ON,2021-06-07,7685125,7202258,"482,867",0,"482,867","174,871",14734014
ON,2021-06-14,7685125,7377129,"307,996",0,"307,996","111,503",14734014
ON,2021-06-21,7685125,7488632,"196,493",0,"196,493","71,043",14734014
ON,2021-06-28,7685125,7559675,"125,450",0,"125,450","45,402",14734014
QC,2021-01-04,88075,29922,"58,153","27,300","85,453","62,530",8574571
QC,2021-01-11,115375,92452,"22,923","80,800","103,723","61,087",8574571
QC,2021-01-18,196175,153539,"42,636","41,925","84,561","67,176",8574571
QC,2021-01-25,238100,220715,"17,385",0,"17,385","18,308",8574571
QC,2021-02-01,238100,239023,-923,"56,725","55,802","20,165",8574571
QC,2021-02-08,294825,259188,"35,637","15,600","51,237","35,698",8574571
QC,2021-02-15,310425,294886,"15,539","91,260","106,799","59,008",8574571
QC,2021-02-22,401685,353894,"47,791","136,140","183,931","84,921",8574571
QC,2021-03-01,537825,438815,"99,010","100,620","199,630","125,487",8574571
QC,2021-03-08,638445,564302,"74,143","310,120","384,263","179,806",8574571
QC,2021-03-15,948565,744108,"204,457","101,790","306,247","222,458",8574571
QC,2021-03-22,1050355,966566,"83,789","329,940","413,729","295,289",8574571
QC,2021-03-29,1380295,1261855,"118,440","940,412","1,058,852","290,360",8574571
QC,2021-04-05,2320707,1552215,"768,492","285,388","1,053,880","340,360",8574571
QC,2021-04-12,2606095,1892575,"713,520","230,490","944,010","390,360",8574571
QC,2021-04-19,2836585,2282935,"553,650","491,490","1,045,140","352,105",8574571
QC,2021-04-26,3328075,2635040,"693,035","231,660","924,695","330,846",8574571
QC,2021-05-03,3559735,2965886,"593,849","231,660","825,509","304,943",8574571
QC,2021-05-10,3791395,3270829,"520,566","231,660","752,226","266,811",8574571
QC,2021-05-17,4023055,3537640,"485,415","231,660","717,075","258,597",8574571
QC,2021-05-24,4254715,3796237,"458,478","231,660","690,138","249,536",8574571
QC,2021-05-31,4486375,4045773,"440,602",0,"440,602","158,161",8574571
QC,2021-06-07,4486375,4203934,"282,441",0,"282,441","101,789",8574571
QC,2021-06-14,4486375,4305723,"180,652",0,"180,652","65,091",8574571
QC,2021-06-21,4486375,4370814,"115,561",0,"115,561","41,589",8574571
QC,2021-06-28,4486375,4412403,"73,972",0,"73,972","26,644",8574571
NB,2021-01-04,8250,2905,"5,345","2,925","8,270","4,827",781476
NB,2021-01-11,11175,7732,"3,443","6,600","10,043","2,704",781476
NB,2021-01-18,17775,10436,"7,339","3,900","11,239","3,821",781476
NB,2021-01-25,21675,14257,"7,418",0,"7,418","3,020",781476
NB,2021-02-01,21675,17277,"4,398","4,175","8,573","1,366",781476
NB,2021-02-08,25850,18643,"7,207",975,"8,182",0,781476
NB,2021-02-15,26825,18643,"8,182","8,190","16,372","7,674",781476
NB,2021-02-22,35015,26317,"8,698","11,760","20,458",0,781476
NB,2021-03-01,46775,26317,"20,458","9,360","29,818","12,166",781476
NB,2021-03-08,56135,38483,"17,652","19,860","37,512","12,871",781476
NB,2021-03-15,75995,51354,"24,641","17,460","42,101","11,841",781476
NB,2021-03-22,93455,63195,"30,260","29,660","59,920","26,987",781476
NB,2021-03-29,123115,90182,"32,933","67,370","100,303","32,047",781476
NB,2021-04-05,190485,122229,"68,256","43,670","111,926","39,217",781476
NB,2021-04-12,234155,161446,"72,709","21,060","93,769","35,016",781476
NB,2021-04-19,255215,196462,"58,753","46,030","104,783","36,441",781476
NB,2021-04-26,301245,232903,"68,342","21,060","89,402","31,934",781476
NB,2021-05-03,322305,264837,"57,468","21,060","78,528","28,228",781476
NB,2021-05-10,343365,293065,"50,300","21,060","71,360","25,319",781476
NB,2021-05-17,364425,318384,"46,041","21,060","67,101","23,965",781476
NB,2021-05-24,385485,342349,"43,136","21,060","64,196","22,927",781476
NB,2021-05-31,406545,365276,"41,269",0,"41,269","14,707",781476
NB,2021-06-07,406545,379983,"26,562",0,"26,562","9,480",781476
NB,2021-06-14,406545,389463,"17,082",0,"17,082","6,095",781476
NB,2021-06-21,406545,395558,"10,987",0,"10,987","3,919",781476
NB,2021-06-28,406545,399477,"7,068",0,"7,068","2,522",781476
NS,2021-01-04,9550,2720,"6,830","3,900","10,730",0,979351
NS,2021-01-11,13450,2720,"10,730","9,550","20,280","4,880",979351
NS,2021-01-18,23000,7600,"15,400","5,850","21,250","3,483",979351
NS,2021-01-25,28850,11083,"17,767",0,"17,767","3,823",979351
NS,2021-02-01,28850,14906,"13,944","1,950","15,894","3,313",979351
NS,2021-02-08,30800,18219,"12,581","5,950","18,531","4,124",979351
NS,2021-02-15,36750,22343,"14,407","10,530","24,937","5,178",979351
NS,2021-02-22,47280,27521,"19,759","14,700","34,459","5,335",979351
NS,2021-03-01,61980,32856,"29,124","11,700","40,824","6,588",979351
NS,2021-03-08,73680,39444,"34,236","24,650","58,886","8,633",979351
NS,2021-03-15,98330,48077,"50,253","20,780","71,033","12,583",979351
NS,2021-03-22,119110,60660,"58,450","35,520","93,970","28,534",979351
NS,2021-03-29,154630,89194,"65,436","42,020","107,456","24,277",979351
NS,2021-04-05,196650,113471,"83,179","96,540","179,719","42,337",979351
NS,2021-04-12,293190,155808,"137,382","26,910","164,292","41,903",979351
NS,2021-04-19,320100,197711,"122,389","55,540","177,929","42,498",979351
NS,2021-04-26,375640,240209,"135,431","26,910","162,341","39,474",979351
NS,2021-05-03,402550,279683,"122,867","26,910","149,777","36,798",979351
NS,2021-05-10,429460,316481,"112,979","26,910","139,889","33,932",979351
NS,2021-05-17,456370,350413,"105,957","26,910","132,867","32,393",979351
NS,2021-05-24,483280,382806,"100,474","26,910","127,384","31,084",979351
NS,2021-05-31,510190,413890,"96,300",0,"96,300","23,445",979351
