Weekday,Date,Cumulative Supply,Supply Increase,Supply Increase: Pfizer,Supply Increase: Moderna,Supply Increase: AstraZeneca,Supply Increase: J&J,Cumulative Vaccines Administered S1,Cumulative Vaccines Administered S2,Cumulative Vaccines Administered S3,Remaining Supply S1,Remaining Supply S2,Remaining Supply S3,Daily Administrations S1,Daily Administrations S2,Daily Administrations S3,Daily Admin./ Supply % S1,Daily Admin./ Supply % S2,Daily Admin./ Supply % S3,DoD % Change S1,DoD % Change S2,DoD % Change S2,WoW % Change S1,WoW % Change S2,WoW % Change S2
Thu,24-Dec,"6,000",,,,,,,,,"6,000","6,000","6,000",0,0,0,0.0%,0.0%,0.0%,,,,,,
Fri,25-Dec,"6,000",0,,,,,,,,"6,000","6,000","6,000",0,0,0,0.0%,0.0%,0.0%,,,,,,
Sat,26-Dec,"6,000",0,,,,,,,,"6,000","6,000","6,000",0,0,0,0.0%,0.0%,0.0%,,,,,,
Sun,27-Dec,"6,000","84,000",,,,,,,,"6,000","6,000","6,000",0,0,0,0.0%,0.0%,0.0%,,,,,,
Mon,28-Dec,"90,000",0,,,,,,,,"90,000","90,000","90,000","10,756","10,756","10,756",12.0%,12.0%,12.0%,,,,,,
Tue,29-Dec,"90,000",0,,,,,"10,756","10,756","10,756","79,244","79,244","79,244","7,847","7,847","7,847",9.9%,9.9%,9.9%,-27.0%,-27.0%,-27.0%,,,
Wed,30-Dec,"90,000",0,,,,,"18,603","18,603","18,603","71,397","71,397","71,397","4,899","4,899","4,899",6.9%,6.9%,6.9%,-37.6%,-37.6%,-37.6%,,,
Thu,31-Dec,"90,000","58,350",,,,,"23,502","23,502","23,502","66,498","66,498","66,498","5,385","5,385","5,385",8.1%,8.1%,8.1%,9.9%,9.9%,9.9%,,,
Fri,01-Jan,"148,350",0,,,,,"28,887","28,887","28,887","119,463","119,463","119,463","4,304","4,304","4,304",3.6%,3.6%,3.6%,-20.1%,-20.1%,-20.1%,,,
Sat,02-Jan,"148,350",0,,,,,"33,191","33,191","33,191","115,159","115,159","115,159","4,360","4,360","4,360",3.8%,3.8%,3.8%,1.3%,1.3%,1.3%,,,
Sun,03-Jan,"148,350",0,,,,,"37,551","37,551","37,551","110,799","110,799","110,799","4,868","4,868","4,868",4.4%,4.4%,4.4%,11.7%,11.7%,11.7%,,,
Mon,04-Jan,"148,350",0,,,,,"42,419","42,419","42,419","105,931","105,931","105,931","7,611","7,611","7,611",7.2%,7.2%,7.2%,56.3%,56.3%,56.3%,-29.2%,-29.2%,-29.2%
Tue,05-Jan,"148,350",0,,,,,"50,030","50,030","50,030","98,320","98,320","98,320","10,350","10,350","10,350",10.5%,10.5%,10.5%,36.0%,36.0%,36.0%,31.9%,31.9%,31.9%
Wed,06-Jan,"148,350","47,775",,,,,"60,380","60,380","60,380","87,970","87,970","87,970","12,251","12,251","12,251",13.9%,13.9%,13.9%,18.4%,18.4%,18.4%,150.1%,150.1%,150.1%
Thu,07-Jan,"196,125",0,,,,,"72,631","72,631","72,631","123,494","123,494","123,494","14,932","14,932","14,932",12.1%,12.1%,12.1%,21.9%,21.9%,21.9%,177.3%,177.3%,177.3%
Fri,08-Jan,"196,125",0,,,,,"87,563","87,563","87,563","108,562","108,562","108,562","15,700","15,700","15,700",14.5%,14.5%,14.5%,5.1%,5.1%,5.1%,264.8%,264.8%,264.8%
Sat,09-Jan,"196,125",0,,,,,"103,263","103,263","103,263","92,862","92,862","92,862","9,983","9,983","9,983",10.8%,10.8%,10.8%,-36.4%,-36.4%,-36.4%,129.0%,129.0%,129.0%
Sun,10-Jan,"196,125",0,,,,,"113,246","113,246","113,246","82,879","82,879","82,879","8,859","8,859","8,859",10.7%,10.7%,10.7%,-11.3%,-11.3%,-11.3%,82.0%,82.0%,82.0%
Mon,11-Jan,"196,125",0,,,,,"122,105","122,105","122,105","74,020","74,020","74,020","11,448","11,448","11,448",15.5%,15.5%,15.5%,29.2%,29.2%,29.2%,50.4%,50.4%,50.4%
Tue,12-Jan,"196,125","80,925",,,,,"133,553","133,553","133,553","62,572","62,572","62,572","11,231","11,231","11,231",17.9%,17.9%,17.9%,-1.9%,-1.9%,-1.9%,8.5%,8.5%,8.5%
Wed,13-Jan,"277,050",0,,,,,"144,784","144,784","144,784","132,266","132,266","132,266","14,237","14,237","14,237",10.8%,10.8%,10.8%,26.8%,26.8%,26.8%,16.2%,16.2%,16.2%
Thu,14-Jan,"277,050",0,,,,,"159,021","159,021","159,021","118,029","118,029","118,029","15,609","15,609","15,609",13.2%,13.2%,13.2%,9.6%,9.6%,9.6%,4.5%,4.5%,4.5%
